feature	kingdom	phylum	class	order	family	genus	species
e139552fe6e8c4ee20a34c084f2f08c1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
e2ccaf59ace2a09f64fb22e403d36668	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
7719786018b52ac8826fd64375ca9bf4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
496830af3c90339ddd4a9ad8b3b5a962	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
89afaafe9534938a73ee4fcd1b0a3261	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
b81edfc8d6640094f670984b6a65ba4e	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
270104f21c569c45907dc921755d45c5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
97d419a71954cb72e4cf6bebaa84bbb9	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
037878b025a4f6d35060b4c90e7d0e9a	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
f083daa0359f43ab50810838de376fdd	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
e00176c024fd4a11a49fb556e861ce2f	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	na	na
e47e5d266f9dd139eb8898da6fad1e5b	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
e9f1999f961eb389b647a0aee1d345f4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
69da21ddc98b36c167542fb565cda670	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
4173440ae8d71b9b3d3da6034e3f7676	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
950374979937c08161a59608ffd0e56b	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
b5f07215061141d0e78d5f9368c5d306	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
a673c1d9456f7f67ca1491e68f39b622	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
808f1a511cf6867992c4cb02caefd88e	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
c0c0ee0b8011313b1c71daf43fe49401	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
cc432f2d6e0c066ce10210473146dfcf	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
2c60654d39bf37673d3c7ed206f2b0d3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
aa15363ad292d8cf0e8651c3114ef6f6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
bb6783092423e3eb4b77fa7dc9d8ad3c	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
b286763427529b4b5c73c1f3fc1f843c	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
19edcda8d5463be9e1186eb9c38eb4dd	Bacteria	na	na	na	na	na	na
99cf8464c86296c4bf981b8578fc19c6	Bacteria	Bacteroidota	Bacteroidia	na	na	na	na
9c9d79fd60ed0e50bcef2d50e52c5cf5	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	na	na
6eafa04797266c744eaf2d9d2eaaa043	Bacteria	Firmicutes_A	Clostridia_258483	Oscillospirales	Oscillospiraceae_88309	CAG-83	na
6d6500506ba84ed423fca6cb44ebca9d	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp004551905
cc36ac50814bcf8c8e58eb1e11858427	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp004551905
1b2493ddc717d7c29681b3a8e11b1a23	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp004551905
6a0b3770951aee680ec2da0cd89fe9cc	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
08a19daad34e96ad8f83658d6a49d1b9	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
8223b2236eb171adf6cc1822b42b0d55	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
0a2d9f4ab9a7ccabe0cd08dd9a5f211f	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp004551905
cf84608deb4c59f8addd63160b6daa07	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	na
8164bf8d15e39da41c30c1b5abf1df11	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
1e095b761abd7c760af88ffb3cf54769	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
5a25f43a402314b22b9d13d18e15ad32	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp004551905
063292f9c94527363945360adb1e001b	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp004551905
6575575e96a98fe6523ae5d983fe6be6	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	na
8f087671f495200ae07c0986034b187f	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	na
260439f72640f1f7757ef1c18be12573	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
02d7a6c59cee92bf56405cc240e27623	Bacteria	Firmicutes_A	Clostridia_258483	Christensenellales	CAG-138	PeH17	PeH17_sp900542285
956b47414059dff072304778ddccf8c1	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
7f97c8982c1a69fc5bcbf67ce7458a2e	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
4dda6c6fc608325aa807482f4f37df1e	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
8d4157915872c2ab384195c265e81092	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
dd3e65cceccce59ce9dba3a644effe21	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
8841297ae37801f44b79223b5685aef1	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
f87ca1cb75fe3cf1f883b464404bcfb6	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
c986a0f6a849125581733854aaee0f2e	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
95b70d75a903667e274f6e4e3ba4527c	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
f751703fa816ed071b1b2cbcfd2bc8ff	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
c87a1da6d075ba6afe41c65bc448aa18	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
6276813c1cf486d720b94e2d9302471f	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
dcde65473b93c5ef6b4cdb4fc585916d	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
cbac3e3d7e0a55a0533142c2d1faf1c3	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
314334e3b68e245979e37bbe54ad9b38	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
3fb8759219427b19a9147f11bbc2e6e4	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
e86bf99916ded6f5778b0468e2991176	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
d51a8f2c56e121c8a4bb87b92703591b	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
6313025fa88b8c3325d264866c7479b5	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	na	na
eca076b679db7ae5ac7b231bac8dd14c	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	na
a4835b08269ddd841a5f0714671f8ccb	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
526055a78a48a9cb40d20f6e527f2643	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
feb37f498f9ad98e3c31acb8437e50a5	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
628730cd4bd04af43bd235dc4f6f5a4c	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
b7062bdb7ce1a9347a50b17517397046	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
ae052e9e45345f52fac107b27873132f	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
6f38974332f24cc5f903199159fbfb6f	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
49e26f06ab90689ec4075fc678b5db40	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
d28a622642a9d5d01c5e21f139a10e2e	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
262139475a1e6235c62fd2ffadcd3712	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	na
2d2c53192c47d2f9eb690a66ff21348c	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	na
2e40ebd23609f47d034fbbf411aa3af2	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	na
75b8c99ca46806ee24296d8bb8475201	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
2f8f45a0b6697b7ad0b948656e9942c4	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
23f2186d6521ad7fea22964768c41cb7	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	na
7a99cc70131bb5f3d2986988f0829be0	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	na
cae4f30af5256fe39a401bd23844daca	Bacteria	Firmicutes_A	Clostridia_258483	na	na	na	na
d6b31be6db219aa25eb239e052ade6dd	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
3c15432766ee187a683600a4a2b0eae3	Bacteria	Verrucomicrobiota	Kiritimatiellae_777934	RFP12	UBA1067	UBA1067	UBA1067_sp002449695
be59cee1ecad85585672f14694eb717f	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	DSYW01	DSYW01_sp011367345
4daa1dcfdb05aa6d17ce88b4999ab5d3	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	UBA2421	na
e47f38161cb72eadfe5f9af57b9e53a6	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	na	na
c17f8cb2659e1c295f59a01eeecb8cb5	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	na	na
004568bc3a00d6eb3dc0b39a9b78b485	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	Tepidisphaera	Tepidisphaera_mucosa
7b3de9abb38d5dee939b61efa41aba4e	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	DSYW01	DSYW01_sp011367345
270c683019e985570b24ba2175f0106e	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	na	na
e0948924de5d331760a00079a2209cd1	Bacteria	Planctomycetota	Phycisphaerae	WQYP01	WQYP01	na	na
3bfbe74540d6e29cc0d39608736fc56b	Bacteria	Planctomycetota	Phycisphaerae	WQYP01	WQYP01	WQYP01	WQYP01_sp009781185
b69bf4ba15be84aee25a0e3f71273bc2	Bacteria	Planctomycetota	Phycisphaerae	WQYP01	WQYP01	WQYP01	WQYP01_sp009781185
794a33cd003912d7a0c471d8c6da1ce6	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	DSYW01	DSYW01_sp011367345
cabbbefd0f3aeea4210a1520432818dd	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	UBA3015	UBA3015	UBA3015_sp001438005
98d771e2f24fdcd287b291d0bbf831cf	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	UBA2421	na
4925ae36f4c19a3c626ca5cf00e79ac5	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	Tepidisphaeraceae	UBA2421	na
94890bceb5ab243e7d12e1d816263974	Bacteria	Proteobacteria	na	na	na	na	na
2600cb8b720feb90eefaeafa6e0b1c4b	Bacteria	Proteobacteria	na	na	na	na	na
75a0209f643e9e95c3aaa5578eb8fe1c	Bacteria	Proteobacteria	na	na	na	na	na
664c2ea525a9a1aa85ffcf995915b24f	Bacteria	Proteobacteria	na	na	na	na	na
f6869648457915d85ca251181825e03b	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	JAABRT01	JAABRT01_sp011390935
95a0b929c416df953f7f9a0b4563a5bb	Bacteria	Acidobacteriota	Thermoanaerobaculia	UBA5066	na	na	na
02eea9c9a61373b40cfadfaacf6a5fa2	Bacteria	Acidobacteriota	Thermoanaerobaculia	UBA5066	na	na	na
dd1543584727e4cacc90973bac368707	Bacteria	Acidobacteriota	Holophagae	Holophagales	Holophagaceae	Holophaga	Holophaga_sp002068835
351abe1cc29593cb61432ae8f7e844fc	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	CSP1-6	na	na
404ecc423d745491a6286f4fc14e55c4	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	CSP1-6	na	na
b19e8a022bf44b5fab6ecc0a34c1bad9	Bacteria	na	na	na	na	na	na
5bfc6a498943b279a19d94c29002a3af	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA2999	na	na
318aa84aafece742354eb3c17b6518a9	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	na	na	na
49a5db00f93cd257971115c57a3e94ba	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA2999	na	na
d012bc0b7145112d70c56ddd12480089	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA2999	na	na
5a5485395ea8965707e3bc1d9a14282c	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	na	na
82af77ccf0ed31c163c0003527a8e2e3	Bacteria	Acidobacteriota	Thermoanaerobaculia	UBA5066	Gp7-AA6	Gp7-AA6	Gp7-AA6_sp003222385
7c247e0a2166f72564c5ee70005ee659	Bacteria	Acidobacteriota	Thermoanaerobaculia	UBA5066	Gp7-AA6	Gp7-AA6	Gp7-AA6_sp003222385
dbe7619999dd664ced961712be65aa22	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA2999	na	na
337b9a639262e7b974104a3469333c0b	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA2999	na	na
16585eeed98cacfee6b6b6a259ae2d36	Bacteria	na	na	na	na	na	na
9d28bb2dde3437c75342fcbe90f0c1c2	Bacteria	Myxococcota_A_473307	Polyangia_463783	Polyangiales	na	na	na
04f071cc6cab8738395c1b09b7bbee89	Bacteria	Myxococcota_A_473307	Polyangia_463783	Polyangiales	na	na	na
4b94badbb2b7c0b04a1fc24a06c046f2	Bacteria	Myxococcota_A_473307	Polyangia_463783	DRWM01	JAAZOP01	JAAZOP01	na
8e2e6aeafa5618155956b12d388b157f	Bacteria	Myxococcota_A_473307	Polyangia_463783	DRWM01	JAAZOP01	JAAZOP01	na
d611f379df649b994cf2c181db022a85	Bacteria	Myxococcota_A_473307	Polyangia_463783	Polyangiales	Polyangiaceae	na	na
eb6dc76a3e693d6159911e42945cd940	Bacteria	Myxococcota_A_473307	Polyangia_463783	Polyangiales	Polyangiaceae	Labilithrix	Labilithrix_luteola
7cce98c9ca29038f619ca4ca5ca8ed37	Bacteria	Myxococcota_A_473307	Polyangia_463783	Polyangiales	Polyangiaceae	na	na
3638f8787ff06266a4893427dbfd33a0	Bacteria	Myxococcota_A_473307	Polyangia_463783	Polyangiales	Polyangiaceae	Chondromyces	na
374d230c9dc18793313f7a949a1e321c	Bacteria	na	na	na	na	na	na
3ca5993fbefe93bad2bb822344fed4b6	Bacteria	Myxococcota_A_473307	Polyangia_463783	Polyangiales	Polyangiaceae	na	na
afe58713234cc810b4f579a38f90911b	Bacteria	Myxococcota_A_473307	Polyangia_463783	Polyangiales	Polyangiaceae	Palsa-1150	Palsa-1150_sp003153495
c31e2acefc9477601b6cf22c4fff1061	Bacteria	Myxococcota_A_473307	Polyangia_463783	Polyangiales	Polyangiaceae	Palsa-1150	Palsa-1150_sp003153495
6767285624474612ff716e3b3438f6d2	Bacteria	Proteobacteria	Gammaproteobacteria	UBA9339	UBA9339	UBA9339	UBA9339_sp001801345
bde9d6ab50493b72e103287651f9e5ec	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales_660879	Moraxellaceae	Moraxella_C_651924	na
43458245addb92ef25fdd130d67d292f	Bacteria	Proteobacteria	Gammaproteobacteria	UBA9339	UBA9339	UBA9339	UBA9339_sp001801345
5ea21c7e5b72c137f8f45920be3599ca	Bacteria	Proteobacteria	Gammaproteobacteria	UBA9339	UBA9339	UBA9339	UBA9339_sp001801345
351be08e7b57875e438923311ee5dd7b	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Alteromonadaceae_665222	Pararheinheimera	Pararheinheimera_tangshanensis
6780c29cfb8b53eac839eeb322379997	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A_737866	Alteromonadaceae_665222	Pararheinheimera	Pararheinheimera_tangshanensis
37471d59c2dbc72f83b0a7c7146c411d	Bacteria	Proteobacteria	Gammaproteobacteria	na	na	na	na
6d18fdfcd6aeb796a1dbe9cdd2c5159d	Bacteria	Proteobacteria	Gammaproteobacteria	na	na	na	na
f394bceb21416edd30a33661746e2dbc	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales_660879	Moraxellaceae	na	na
078d62a0878f0b6f355c23018ffa38d6	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales_650611	Pseudomonadaceae	Pseudomonas_E_647464	na
